Kolejne przybliżenia miejsc zerowych znalezionych metodą Newtona

nr iteracji	wart. przybliżenia	wart. funkcji	wart. pochodnej
1		-3.15268		-1.23134		-0.211769
2		-8.96721		-10.4931		1.34467
3		-1.16374		-1.08757		0.686846
4		0.419697		0.385465		0.808288
5		-0.0571942		-0.0575719		1.01266
6		-0.000342219		-0.000342234		1.00009
7		-1.46247e-08		-1.46247e-08		1
8		-2.67351e-17		-2.67351e-17		1
9		0			0			1
10		0			0			1

1		4.7324			-3.79925		-1.16309
2		1.46589			0.725898		-0.26176
3		4.23903			-3.13621		-1.51564
4		2.16979			0.237404		-1.10626
5		2.38439			-0.023775		-1.32286
6		2.36642			-0.000152012		-1.3059
7		2.3663			-6.43529e-09		-1.30579
8		2.3663			-1.11022e-16		-1.30579
9		2.3663			-1.11022e-16		-1.30579
10		2.3663			-1.11022e-16		-1.30579
