Kolejne przybliżenia miejsc zerowych znalezionych metodą siecznych

nr iteracji	x(k+1)			f(x(k))			f(x(k-1))
1		-3.05486		-9.17114		-8.98936
2		-2.25638		-1.25315		-9.17114
3		-9.41557		-1.41046		-1.25315
4		-1.21327		-11.0908		-1.41046
5		-0.291223		-1.12077		-11.0908
6		0.0423159		-0.297725		-1.12077
7		0.00101238		0.0420794		-0.297725
8		-5.6969e-06		0.00101225		0.0420794
9		7.21988e-10		-5.69691e-06		0.00101225
10		5.14133e-16		7.21988e-10		-5.69691e-06
11		-4.63998e-26		5.14133e-16		7.21988e-10
12		0			-4.63998e-26		5.14133e-16
13		0			0			-4.63998e-26
14		-nan			0			0
15		-nan			-nan			0

1		4.82372			-7.23136		-7.01064
2		0.983196		-3.90234		-7.23136
3		1.5754			0.711439		-3.90234
4		20.4119			0.689754		0.711439
5		1.82636			-51.0807		0.689754
6		2.02455			0.550569		-51.0807
7		2.49125			0.386457		0.550569
8		2.34848			-0.170328		0.386457
9		2.36554			0.0231226		-0.170328
10		2.36631			0.000990854		0.0231226
11		2.3663			-6.49953e-06		0.000990854
12		2.3663			1.79524e-09		-6.49953e-06
13		2.3663			3.33067e-15		1.79524e-09
14		2.3663			-1.11022e-16		3.33067e-15
15		-nan			-1.11022e-16		-1.11022e-16
