
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
-1.9596 -2  94.0237 i
-1.91919 -2  89.2714 i
-1.87879 -2  84.7354 i
-1.83838 -2  80.4081 i
-1.79798 -2  76.2824 i
-1.75758 -2  72.3509 i
-1.71717 -2  68.6066 i
-1.67677 -2  65.0426 i
-1.63636 -2  61.6523 i
-1.59596 -2  58.429 i
-1.55556 -2  55.3664 i
-1.51515 -2  52.4582 i
-1.47475 -2  49.6984 i
-1.43434 -2  47.0811 i
-1.39394 -2  44.6004 i
-1.35354 -2  42.2508 i
-1.31313 -2  40.0269 i
-1.27273 -2  37.9233 i
-1.23232 -2  35.935 i
-1.19192 -2  34.057 i
-1.15152 -2  32.2845 i
-1.11111 -2  30.6129 i
-1.07071 -2  29.0376 i
-1.0303 -2  27.5545 i
-0.989899 -2  26.1592 i
-0.949495 -2  24.8479 i
-0.909091 -2  23.6166 i
-0.868687 -2  22.4618 i
-0.828283 -2  21.3798 i
-0.787879 -2  20.3674 i
-0.747475 -2  19.4213 i
-0.707071 -2  18.5385 i
-0.666667 -2  17.716 i
-0.626263 -2  16.9513 i
-0.585859 -2  16.2418 i
-0.545455 -2  15.5849 i
-0.505051 -2  14.9786 i
-0.464646 -2  14.4207 i
-0.424242 -2  13.9093 i
-0.383838 -2  13.4426 i
-0.343434 -2  13.0191 i
-0.30303 -2  12.6372 i
-0.262626 -2  12.2958 i
-0.222222 -2  11.9938 i
-0.181818 -2  11.73 i
-0.141414 -2  11.5038 i
-0.10101 -2  11.3145 i
-0.0606061 -2  11.1616 i
-0.020202 -2  11.0449 i
 0.020202 -2  10.9641 i
 0.0606061 -2  10.9192 i
 0.10101 -2  10.9105 i
 0.141414 -2  10.9381 i
 0.181818 -2  11.0027 i
 0.222222 -2  11.1049 i
 0.262626 -2  11.2453 i
 0.30303 -2  11.4251 i
 0.343434 -2  11.6453 i
 0.383838 -2  11.9072 i
 0.424242 -2  12.2123 i
 0.464646 -2  12.5621 i
 0.505051 -2  12.9584 i
 0.545455 -2  13.4031 i
 0.585859 -2  13.8983 i
 0.626263 -2  14.4463 i
 0.666667 -2  15.0494 i
 0.707071 -2  15.7102 i
